epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2135.65,1.87431,2.07199,2.01327,0.30846,0.31595,0.29521,0.15498,1.83412,2.12669,2.08047,0.000810363,0.000810363,0.000810363
43,2185,1.85458,2.04714,2.02727,0.33906,0.27915,0.28313,0.15008,1.88689,2.11201,2.1115,0.000803031,0.000803031,0.000803031
44,2234.89,1.89235,2.03909,2.01619,0.4164,0.29969,0.30925,0.15602,1.80095,2.17132,2.01655,0.000795698,0.000795698,0.000795698
45,2284.11,1.86433,1.9981,1.99704,0.3536,0.3156,0.29437,0.14815,1.85954,2.14269,2.08733,0.000788366,0.000788366,0.000788366
46,2333.39,1.8531,1.98925,2.00067,0.46613,0.30866,0.31664,0.16908,1.78995,2.03635,2.03543,0.000781033,0.000781033,0.000781033
47,2383.01,1.81747,1.94447,1.96762,0.43813,0.2819,0.30569,0.16081,1.82501,2.08605,2.05497,0.0007737,0.0007737,0.0007737
48,2432.22,1.84753,2.03447,2.00621,0.39678,0.32505,0.30333,0.15591,1.82083,2.0226,2.054,0.000766368,0.000766368,0.000766368
49,2481.43,1.80369,1.92814,1.97908,0.35174,0.34929,0.313,0.16993,1.76528,2.02659,2.01571,0.000759035,0.000759035,0.000759035
50,2530.74,1.82893,1.99435,1.97911,0.44201,0.35457,0.32542,0.16289,1.83556,2.05754,2.02807,0.000751703,0.000751703,0.000751703
51,2580.4,1.8386,1.9815,1.96878,0.47547,0.33,0.33348,0.16578,1.82448,2.07504,2.02888,0.00074437,0.00074437,0.00074437
52,2630.38,1.86065,1.93631,1.98567,0.39517,0.35077,0.32468,0.16447,1.82649,2.03709,2.01379,0.000737037,0.000737037,0.000737037
53,2680.11,1.80741,1.9058,1.95127,0.62999,0.30663,0.33063,0.17145,1.81377,2.05011,2.0084,0.000729705,0.000729705,0.000729705
54,2729.73,1.8091,1.90035,1.93042,0.36172,0.33956,0.29844,0.15336,1.77704,2.00724,1.98035,0.000722372,0.000722372,0.000722372
55,2779.52,1.80696,1.8529,1.91449,0.53674,0.34301,0.35303,0.1792,1.78164,1.94252,2.00286,0.00071504,0.00071504,0.00071504
56,2829.61,1.79769,1.9546,1.89449,0.39588,0.34877,0.32515,0.16786,1.79872,1.98392,2.00349,0.000707707,0.000707707,0.000707707
57,2879.24,1.80829,1.91105,1.95154,0.42741,0.37718,0.33216,0.17115,1.77742,1.97989,2.0026,0.000700374,0.000700374,0.000700374
58,2928.96,1.80242,1.83498,1.9311,0.33292,0.38775,0.33195,0.17189,1.75538,1.98128,1.97524,0.000693042,0.000693042,0.000693042
59,2977.94,1.77477,1.83977,1.92087,0.56105,0.38562,0.34606,0.18697,1.7395,1.88003,1.96477,0.000685709,0.000685709,0.000685709
60,3026.88,1.80008,1.80502,1.91157,0.40307,0.38713,0.3431,0.17214,1.77179,1.8865,1.98592,0.000678377,0.000678377,0.000678377
61,3075.89,1.7726,1.8486,1.92468,0.36053,0.37053,0.33495,0.17539,1.76078,1.91921,1.96567,0.000671044,0.000671044,0.000671044
62,3124.85,1.79407,1.83447,1.90666,0.56405,0.32595,0.32949,0.17139,1.77176,1.96779,1.98382,0.000663711,0.000663711,0.000663711
63,3173.67,1.77258,1.77983,1.88754,0.42071,0.35508,0.34081,0.17844,1.78892,1.90094,1.99424,0.000656379,0.000656379,0.000656379
64,3222.89,1.7519,1.76535,1.88175,0.45628,0.38969,0.35169,0.1835,1.75894,1.89084,1.96935,0.000649046,0.000649046,0.000649046
65,3272.22,1.75141,1.72877,1.84528,0.49655,0.38086,0.36841,0.18273,1.76923,1.88185,1.9893,0.000641714,0.000641714,0.000641714
66,3321.27,1.69419,1.74557,1.86339,0.53541,0.38195,0.36351,0.17923,1.79603,1.8875,2.01364,0.000634381,0.000634381,0.000634381
67,3370.41,1.7344,1.67833,1.83386,0.50718,0.36914,0.35749,0.18629,1.76165,1.82724,1.95459,0.000627048,0.000627048,0.000627048
68,3419.59,1.74602,1.71658,1.85188,0.43771,0.38825,0.36515,0.19632,1.72368,1.80297,1.94565,0.000619716,0.000619716,0.000619716
69,3468.85,1.72788,1.73748,1.87641,0.56979,0.38633,0.37165,0.19407,1.73886,1.91563,1.93891,0.000612383,0.000612383,0.000612383
70,3517.96,1.72448,1.70542,1.85168,0.49438,0.36509,0.35834,0.18221,1.74004,1.85925,1.95797,0.000605051,0.000605051,0.000605051
71,3566.79,1.7264,1.7064,1.85244,0.45105,0.36134,0.35485,0.18017,1.785,1.79153,1.97599,0.000597718,0.000597718,0.000597718
72,3615.57,1.70026,1.7018,1.84089,0.42966,0.38029,0.36684,0.18853,1.74056,1.80753,1.92375,0.000590385,0.000590385,0.000590385
73,3664.75,1.72668,1.71016,1.84309,0.41321,0.4054,0.35185,0.17585,1.7814,1.84814,1.97534,0.000583053,0.000583053,0.000583053
74,3713.67,1.71677,1.70998,1.84919,0.52215,0.358,0.33869,0.17463,1.74992,1.84189,1.94991,0.00057572,0.00057572,0.00057572
75,3762.95,1.7817,1.72894,1.85009,0.49805,0.38723,0.35159,0.17602,1.75217,1.9333,1.93867,0.000568388,0.000568388,0.000568388
76,3811.95,1.66305,1.60466,1.7863,0.42307,0.41867,0.37782,0.18513,1.76516,1.79434,1.9487,0.000561055,0.000561055,0.000561055
77,3860.69,1.68399,1.63712,1.81857,0.42478,0.38242,0.36271,0.18176,1.75169,1.79833,1.96373,0.000553722,0.000553722,0.000553722
78,3909.6,1.66584,1.6428,1.80542,0.38422,0.37733,0.34982,0.18259,1.75856,1.87858,1.95497,0.00054639,0.00054639,0.00054639
79,3958.72,1.65715,1.60272,1.8073,0.45603,0.36666,0.36223,0.18689,1.76799,1.81633,1.95707,0.000539057,0.000539057,0.000539057
80,4007.51,1.65738,1.62006,1.80134,0.417,0.39883,0.36957,0.18715,1.76964,1.70829,1.96372,0.000531725,0.000531725,0.000531725
81,4056.51,1.67702,1.62747,1.80167,0.36144,0.38511,0.3697,0.18489,1.75092,1.79829,1.93235,0.000524392,0.000524392,0.000524392
82,4105.12,1.69221,1.59599,1.79417,0.39013,0.38359,0.36676,0.19374,1.71382,1.70974,1.91107,0.000517059,0.000517059,0.000517059
83,4153.75,1.68074,1.62337,1.81146,0.45732,0.41384,0.38283,0.19742,1.71913,1.73024,1.91771,0.000509727,0.000509727,0.000509727
84,4202.51,1.6669,1.61574,1.79804,0.37942,0.38875,0.35612,0.18291,1.74239,1.80398,1.9574,0.000502394,0.000502394,0.000502394
85,4251.4,1.64605,1.63203,1.78204,0.41827,0.3753,0.36075,0.17778,1.74902,1.78513,1.93921,0.000495062,0.000495062,0.000495062
86,4299.78,1.63944,1.60247,1.78767,0.43324,0.39835,0.37002,0.19328,1.73717,1.73146,1.9403,0.000487729,0.000487729,0.000487729
87,4348.47,1.65717,1.59024,1.81113,0.40398,0.37635,0.36143,0.1898,1.74589,1.77107,1.94109,0.000480396,0.000480396,0.000480396
88,4397.32,1.64085,1.58318,1.77651,0.43023,0.37531,0.37128,0.18844,1.75259,1.77861,1.91871,0.000473064,0.000473064,0.000473064
89,4446.03,1.62221,1.54072,1.75038,0.4402,0.38246,0.37658,0.19141,1.73724,1.73921,1.92524,0.000465731,0.000465731,0.000465731
90,4494.94,1.67372,1.59771,1.77773,0.4347,0.399,0.36917,0.18769,1.76111,1.78982,1.94139,0.000458399,0.000458399,0.000458399
91,4543.57,1.64896,1.54308,1.77427,0.45489,0.40814,0.37213,0.18957,1.71062,1.702,1.90238,0.000451066,0.000451066,0.000451066
92,4592.23,1.60564,1.54574,1.77688,0.4195,0.41198,0.38759,0.19273,1.73883,1.7909,1.91088,0.000443733,0.000443733,0.000443733
93,4641.1,1.61124,1.52752,1.75588,0.41647,0.40233,0.37123,0.19311,1.69858,1.82215,1.90926,0.000436401,0.000436401,0.000436401
94,4690.16,1.64053,1.52189,1.75638,0.44541,0.40963,0.3815,0.19267,1.71075,1.70782,1.89053,0.000429068,0.000429068,0.000429068
95,4738.87,1.5995,1.53713,1.76316,0.36862,0.39771,0.35824,0.18722,1.72641,1.77475,1.92784,0.000421736,0.000421736,0.000421736
96,4787.69,1.56831,1.45309,1.72987,0.37672,0.41878,0.36385,0.1879,1.72224,1.72882,1.90542,0.000414403,0.000414403,0.000414403
97,4836.58,1.64378,1.55926,1.76904,0.37682,0.41349,0.36249,0.18183,1.74252,1.74524,1.93042,0.00040707,0.00040707,0.00040707
98,4885.96,1.66852,1.50082,1.74216,0.41669,0.41404,0.37927,0.19299,1.68909,1.72358,1.86527,0.000399738,0.000399738,0.000399738
99,4934.83,1.56868,1.47466,1.7281,0.39006,0.39356,0.36778,0.18668,1.73609,1.71265,1.91776,0.000392405,0.000392405,0.000392405
100,4983.77,1.65529,1.50508,1.76906,0.405,0.39669,0.36829,0.18718,1.73455,1.69834,1.91017,0.000385073,0.000385073,0.000385073
101,5032.64,1.5726,1.4624,1.72808,0.36996,0.42409,0.38533,0.19608,1.7058,1.65115,1.90376,0.00037774,0.00037774,0.00037774
102,5082.03,1.63513,1.45723,1.74316,0.40045,0.43325,0.38056,0.18885,1.72945,1.76146,1.89877,0.000370407,0.000370407,0.000370407
103,5131.19,1.63517,1.51042,1.74867,0.37993,0.39947,0.36775,0.19228,1.6948,1.66551,1.87828,0.000363075,0.000363075,0.000363075
104,5180.26,1.57506,1.44898,1.73707,0.40517,0.41673,0.37964,0.19636,1.70137,1.70666,1.89258,0.000355742,0.000355742,0.000355742
105,5229.6,1.57163,1.50608,1.70865,0.4138,0.38972,0.36895,0.18752,1.72893,1.69776,1.92019,0.00034841,0.00034841,0.00034841
106,5278.88,1.61896,1.48958,1.75354,0.44571,0.43635,0.38544,0.18747,1.73744,1.69026,1.9258,0.000341077,0.000341077,0.000341077
107,5327.87,1.55724,1.41793,1.72715,0.47275,0.42994,0.40044,0.20279,1.72576,1.68126,1.90953,0.000333744,0.000333744,0.000333744
108,5377.06,1.56069,1.42555,1.71484,0.41103,0.41114,0.37662,0.20021,1.69879,1.68545,1.87354,0.000326412,0.000326412,0.000326412
109,5425.95,1.59772,1.44453,1.72423,0.42502,0.44583,0.39503,0.1992,1.72676,1.68074,1.90442,0.000319079,0.000319079,0.000319079
110,5474.55,1.58845,1.46818,1.73767,0.39256,0.43871,0.37912,0.19479,1.70485,1.68279,1.87723,0.000311747,0.000311747,0.000311747
111,5523.28,1.5268,1.3987,1.69021,0.43978,0.42267,0.38709,0.19928,1.71385,1.69363,1.89545,0.000304414,0.000304414,0.000304414
