epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.2005,1.84845,2.98203,1.77918,0.40072,0.18041,0.1847,0.11627,1.80503,2.48189,1.55631,0.000365524,0.000365524,0.000365524
2,168.834,1.89173,2.34454,1.74616,0.40054,0.26807,0.26452,0.14428,1.83599,2.35316,1.6122,0.000733429,0.000733429,0.000733429
3,255.515,1.84518,2.19286,1.74243,0.3971,0.33138,0.29568,0.15561,1.905,2.38271,1.68102,0.00109889,0.00109889,0.00109889
4,338.649,1.83322,2.09265,1.70269,0.40191,0.37196,0.30515,0.16144,1.8246,2.18546,1.67205,0.0011,0.0011,0.0011
5,423.328,1.7954,2.03144,1.68971,0.48545,0.38012,0.38856,0.20802,1.79455,1.87723,1.58038,0.00109633,0.00109633,0.00109633
6,507.36,1.8073,2.00667,1.67174,0.43384,0.37528,0.35082,0.18721,1.82886,1.98343,1.63704,0.00109267,0.00109267,0.00109267
7,591.6,1.82554,1.96134,1.66877,0.42192,0.41644,0.38546,0.20435,1.76786,1.8702,1.57254,0.001089,0.001089,0.001089
8,674.648,1.81418,1.91749,1.67388,0.53055,0.37369,0.41502,0.23176,1.76407,1.74059,1.56401,0.00108534,0.00108534,0.00108534
9,758.452,1.79074,1.88562,1.64429,0.49448,0.42947,0.41905,0.22587,1.77582,1.68224,1.55837,0.00108167,0.00108167,0.00108167
10,841.066,1.77745,1.87614,1.64705,0.44703,0.33343,0.33821,0.19585,1.78685,2.02352,1.64283,0.001078,0.001078,0.001078
11,924.501,1.75308,1.84435,1.63728,0.46557,0.41172,0.41563,0.2241,1.70197,1.68391,1.53072,0.00107434,0.00107434,0.00107434
12,1008.43,1.74966,1.82075,1.63678,0.53235,0.44178,0.44186,0.24135,1.71868,1.66033,1.52982,0.00107067,0.00107067,0.00107067
13,1092.23,1.74837,1.78349,1.62101,0.50054,0.43501,0.42591,0.23176,1.68664,1.64739,1.53067,0.001067,0.001067,0.001067
14,1175.94,1.73057,1.7679,1.61459,0.5374,0.47554,0.46507,0.24442,1.71889,1.58782,1.51141,0.00106334,0.00106334,0.00106334
15,1259.1,1.69516,1.72766,1.59449,0.52904,0.50626,0.47359,0.256,1.70415,1.55659,1.52061,0.00105967,0.00105967,0.00105967
16,1341.92,1.73736,1.75361,1.61776,0.50396,0.47528,0.47143,0.25874,1.69784,1.48327,1.52545,0.00105601,0.00105601,0.00105601
17,1424.28,1.71037,1.73524,1.61454,0.55851,0.45813,0.48222,0.25494,1.68119,1.52412,1.50507,0.00105234,0.00105234,0.00105234
18,1507.15,1.72948,1.67477,1.58079,0.55132,0.46014,0.48341,0.26693,1.69837,1.50272,1.50096,0.00104867,0.00104867,0.00104867
19,1589.69,1.67705,1.62933,1.56985,0.53981,0.46912,0.49063,0.26712,1.67751,1.54513,1.48503,0.00104501,0.00104501,0.00104501
20,1671.89,1.67449,1.66207,1.59827,0.58164,0.46768,0.47514,0.26513,1.68107,1.52094,1.53731,0.00104134,0.00104134,0.00104134
