epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4920.88,1.6662,1.5735,1.59174,0.59703,0.53339,0.54894,0.30496,1.64076,1.3581,1.45991,0.000960682,0.000960682,0.000960682
43,5037.56,1.67541,1.55652,1.58783,0.55638,0.55361,0.55884,0.30712,1.60315,1.3025,1.42254,0.000957015,0.000957015,0.000957015
44,5154.33,1.67843,1.55752,1.58722,0.61846,0.53063,0.54367,0.30018,1.65753,1.29809,1.46746,0.000953349,0.000953349,0.000953349
45,5271,1.64214,1.50642,1.56374,0.57981,0.52564,0.53991,0.30204,1.62706,1.31432,1.4465,0.000949683,0.000949683,0.000949683
46,5387.63,1.65253,1.5135,1.56086,0.59959,0.53517,0.5363,0.30256,1.62445,1.29433,1.4434,0.000946016,0.000946016,0.000946016
47,5504.62,1.65849,1.52015,1.57458,0.50467,0.52307,0.51555,0.29528,1.5806,1.32348,1.44639,0.00094235,0.00094235,0.00094235
48,5621.15,1.63852,1.49584,1.56911,0.60273,0.54655,0.5595,0.3176,1.61194,1.25046,1.43609,0.000938684,0.000938684,0.000938684
49,5738.02,1.64032,1.48149,1.54583,0.58721,0.5736,0.57741,0.32726,1.57958,1.29297,1.41748,0.000935018,0.000935018,0.000935018
50,5854.2,1.64391,1.50482,1.5682,0.59636,0.54854,0.57478,0.32539,1.63479,1.30046,1.45263,0.000931351,0.000931351,0.000931351
51,5969.82,1.63784,1.4924,1.55884,0.58245,0.57933,0.55702,0.3161,1.59496,1.2307,1.41858,0.000927685,0.000927685,0.000927685
52,6085.5,1.6642,1.52551,1.57365,0.57446,0.56348,0.57538,0.32136,1.59335,1.28587,1.41703,0.000924019,0.000924019,0.000924019
53,6201.32,1.59759,1.48293,1.54319,0.57407,0.52999,0.53486,0.30752,1.59304,1.28624,1.41533,0.000920352,0.000920352,0.000920352
54,6317.72,1.62616,1.47891,1.54712,0.60336,0.54219,0.57314,0.33058,1.58672,1.25752,1.43177,0.000916686,0.000916686,0.000916686
55,6433.83,1.62969,1.48565,1.56168,0.64371,0.54049,0.57027,0.31891,1.59105,1.27491,1.41662,0.00091302,0.00091302,0.00091302
56,6550.65,1.60974,1.42907,1.52709,0.60072,0.5304,0.55829,0.31485,1.59102,1.29942,1.42678,0.000909353,0.000909353,0.000909353
57,6667.78,1.5952,1.40381,1.51671,0.61314,0.54069,0.5602,0.31547,1.57181,1.2327,1.40757,0.000905687,0.000905687,0.000905687
58,6784.39,1.61465,1.45094,1.54196,0.60944,0.58516,0.59505,0.33082,1.58364,1.19248,1.40876,0.000902021,0.000902021,0.000902021
59,6901.15,1.58723,1.45111,1.53495,0.61488,0.53246,0.53716,0.3088,1.63434,1.29249,1.44442,0.000898355,0.000898355,0.000898355
60,7018.56,1.57355,1.41606,1.50797,0.62287,0.51014,0.53214,0.30137,1.608,1.32762,1.43345,0.000894688,0.000894688,0.000894688
61,7135.45,1.60495,1.43241,1.52863,0.61437,0.5548,0.55901,0.31812,1.60747,1.25124,1.43416,0.000891022,0.000891022,0.000891022
62,7251.61,1.57612,1.4024,1.51373,0.56954,0.56588,0.55412,0.30817,1.58782,1.25415,1.42178,0.000887356,0.000887356,0.000887356
63,7367.68,1.58529,1.39454,1.51805,0.6281,0.52131,0.5562,0.31771,1.55002,1.24384,1.39119,0.000883689,0.000883689,0.000883689
64,7484.13,1.58915,1.41606,1.52163,0.64792,0.5532,0.57617,0.31933,1.61406,1.26541,1.43198,0.000880023,0.000880023,0.000880023
65,7601.09,1.59542,1.40351,1.52279,0.6271,0.579,0.59586,0.33792,1.57062,1.19976,1.40263,0.000876357,0.000876357,0.000876357
66,7717.56,1.61223,1.42998,1.54135,0.68343,0.55165,0.58692,0.33925,1.55314,1.18839,1.39482,0.000872691,0.000872691,0.000872691
67,7834.01,1.55378,1.3787,1.5088,0.60247,0.54646,0.58192,0.33494,1.57503,1.25187,1.41582,0.000869024,0.000869024,0.000869024
68,7951.07,1.5902,1.40041,1.52029,0.64877,0.5783,0.5869,0.3433,1.5807,1.1884,1.40656,0.000865358,0.000865358,0.000865358
69,8068.45,1.59597,1.39279,1.52596,0.62337,0.59219,0.60181,0.3497,1.59109,1.18699,1.4058,0.000861692,0.000861692,0.000861692
70,8185.34,1.56771,1.37693,1.49975,0.6305,0.57155,0.58386,0.33757,1.58001,1.16391,1.41452,0.000858025,0.000858025,0.000858025
71,8302.94,1.59418,1.38587,1.51881,0.6495,0.55574,0.58591,0.33909,1.55386,1.19631,1.40366,0.000854359,0.000854359,0.000854359
72,8419.42,1.58699,1.37385,1.51132,0.63673,0.56042,0.57385,0.33126,1.57545,1.21219,1.40819,0.000850693,0.000850693,0.000850693
73,8535.58,1.56517,1.38065,1.50122,0.58626,0.56419,0.56782,0.32345,1.57835,1.19517,1.40767,0.000847026,0.000847026,0.000847026
74,8651.69,1.57602,1.39435,1.51273,0.61721,0.55928,0.58208,0.3404,1.58365,1.18882,1.42271,0.00084336,0.00084336,0.00084336
75,8768.48,1.57371,1.36122,1.49294,0.67619,0.5703,0.6083,0.34694,1.56128,1.20987,1.38274,0.000839694,0.000839694,0.000839694
76,8884.46,1.56154,1.37941,1.50647,0.67029,0.58944,0.61382,0.34462,1.5638,1.18578,1.40989,0.000836027,0.000836027,0.000836027
77,9000.89,1.55879,1.36337,1.50972,0.61615,0.57018,0.58341,0.33239,1.57371,1.1792,1.41804,0.000832361,0.000832361,0.000832361
78,9117.68,1.54789,1.35092,1.49232,0.62088,0.57258,0.57308,0.33555,1.54476,1.21968,1.39698,0.000828695,0.000828695,0.000828695
79,9234.2,1.56377,1.35369,1.50177,0.61324,0.55262,0.57621,0.32916,1.55946,1.2282,1.41101,0.000825029,0.000825029,0.000825029
80,9351.65,1.57585,1.3668,1.50831,0.64327,0.57465,0.59905,0.34248,1.54357,1.18842,1.39459,0.000821362,0.000821362,0.000821362
81,9468.61,1.54471,1.33093,1.48785,0.61972,0.56699,0.58542,0.34415,1.55449,1.17533,1.40545,0.000817696,0.000817696,0.000817696
82,9584.35,1.53818,1.32855,1.48848,0.63354,0.56909,0.6003,0.34455,1.56828,1.1669,1.41536,0.00081403,0.00081403,0.00081403
83,9700.9,1.53406,1.31161,1.47071,0.66805,0.55791,0.59593,0.34192,1.55226,1.17763,1.40254,0.000810363,0.000810363,0.000810363
